
Host                                            Status       Expires      Days
govhs.desire2learn.com:443                      Valid        Nov 5 2013   372                                
wvde.desire2learn.com:443                       Expired      Feb 8 2009   -1359                               
accenture.desire2learn.com:443                  Valid        Jul 23 2013  267                                
bjuonline.desire2learn.com:443                  Valid        Jul 23 2013  267                                
broward.desire2learn.com:443                    Valid        Jul 23 2013  267                                
cencol.desire2learn.com:443                     Valid        Oct 29 2014  730                                
bbcsulb.desire2learn.com:443                    Valid        Jul 23 2013  267                                
training.desire2learn.com:443                   Valid        Jul 23 2013  267                                
gcps.desire2learn.com:443                       Valid        Jul 23 2013  267                                
ilearnnyc.desire2learn.com:443                  Valid        Apr 28 2013  181                                
bcsd.desire2learn.com:443                       Valid        Jul 23 2013  267                                
bibb.desire2learn.com:443                       Valid        Jul 23 2013  267                                
carleton.desire2learn.com:443                   Valid        Jul 23 2013  267                                
cccb.desire2learn.com:443                       Valid        Jul 23 2013  267                                
cloud.desire2learn.com:443                      Expiring     Nov 14 2012  16                                 
goaldigitalprod.desire2learn.com:443            Valid        Jun 23 2013  237                                
inacol.desire2learn.com:443                     Valid        Jul 23 2013  267                                
infilaw.desire2learn.com:443                    Valid        Jul 23 2013  267                                
lc.desire2learn.com:443                         Valid        Jul 23 2013  267                                
mercury.desire2learn.com:443                    Valid        Jul 23 2013  267                                
mtsac.desire2learn.com:443                      Valid        Jul 23 2013  267                                
niefolio.desire2learn.com:443                   Valid        Jul 23 2013  267                                
oecta.desire2learn.com:443                      Valid        Jul 23 2013  267                                
prairiestate.desire2learn.com:443               Valid        Jul 23 2013  267                                
uwla.desire2learn.com:443                       Valid        Mar 17 2013  139                                
mercycollege.desire2learn.com:443               Valid        Jul 23 2013  267                                
careerquest.desire2learn.com:443                Valid        Apr 4 2013   157                                
nau5.desire2learn.com:443                       Valid        Jul 21 2016  1361                               
ndu.desire2learn.com:443                        Valid        Jul 23 2013  267                                
cs1.open.desire2learn.com:443                   Valid        May 16 2013  199                                
ouhsc.desire2learn.com:443                      Valid        Jul 23 2013  267                                
pamojaeducation.desire2learn.com:443            Valid        Mar 2 2013   124                                
pdxprod.desire2learn.com:443                    Valid        Jul 7 2013   251                                
psu.desire2learn.com:443                        Valid        Jul 23 2013  267                                
sait.desire2learn.com:443                       Valid        Apr 23 2015  906                                
smul.desire2learn.com:443                       Valid        Mar 31 2014  518                                
surreyconnect.desire2learn.com:443              Valid        Jul 23 2013  267                                
tamuk.desire2learn.com:443                      Valid        Feb 3 2013   97                                 
ucb.desire2learn.com:443                        Valid        Dec 20 2014  782                                
usg.desire2learn.com:443                        Valid        Jul 23 2013  267                                
wluprod.desire2learn.com:443                    Valid        Jun 16 2013  230                                
cauc.adec.desire2learn.com:443                  Valid        Aug 27 2013  302                                
hsi.adec.desire2learn.com:443                   Valid        Apr 20 2013  173                                
swau.adec.desire2learn.com:443                  Valid        Nov 19 2014  751                                
wwc.adec.desire2learn.com:443                   Valid        Aug 18 2015  1023                               
access.desire2learn.com:443                     Valid        Jul 23 2013  267                                
ccs.desire2learn.com:443                        Valid        Mar 8 2014   495                                
