
Host                                            Status       Expires      Days
govhs.desire2learn.com:443                      Valid        Nov 5 2013   347                                
wvde.desire2learn.com:443                       Expired      Feb 8 2009   -1384                               
accenture.desire2learn.com:443                  Valid        Jul 23 2013  242                                
bjuonline.desire2learn.com:443                  Valid        Jul 23 2013  242                                
broward.desire2learn.com:443                    Valid        Jul 23 2013  242                                
cencol.desire2learn.com:443                     Valid        Oct 29 2014  705                                
bbcsulb.desire2learn.com:443                    Valid        Jul 23 2013  242                                
training.desire2learn.com:443                   Valid        Jul 23 2013  242                                
gcps.desire2learn.com:443                       Valid        Jul 23 2013  242                                
ilearnnyc.desire2learn.com:443                  Valid        Apr 28 2013  156                                
bcsd.desire2learn.com:443                       Valid        Jul 23 2013  242                                
bibb.desire2learn.com:443                       Valid        Jul 23 2013  242                                
carleton.desire2learn.com:443                   Valid        Jul 23 2013  242                                
cccb.desire2learn.com:443                       Valid        Jul 23 2013  242                                
cloud.desire2learn.com:443                      Valid        Dec 19 2013  391                                
goaldigitalprod.desire2learn.com:443            Valid        Jun 23 2013  212                                
inacol.desire2learn.com:443                     Valid        Jul 23 2013  242                                
infilaw.desire2learn.com:443                    Valid        Jul 23 2013  242                                
lc.desire2learn.com:443                         Valid        Jul 23 2013  242                                
mercury.desire2learn.com:443                    Valid        Jul 23 2013  242                                
mtsac.desire2learn.com:443                      Valid        Jul 23 2013  242                                
niefolio.desire2learn.com:443                   Valid        Jul 23 2013  242                                
oecta.desire2learn.com:443                      Valid        Jul 23 2013  242                                
prairiestate.desire2learn.com:443               Valid        Jul 23 2013  242                                
uwla.desire2learn.com:443                       Valid        Mar 17 2013  114                                
mercycollege.desire2learn.com:443               Valid        Jul 23 2013  242                                
careerquest.desire2learn.com:443                Valid        Apr 4 2013   132                                
nau5.desire2learn.com:443                       Valid        Jul 21 2016  1336                               
ndu.desire2learn.com:443                        Valid        Jul 23 2013  242                                
cs1.open.desire2learn.com:443                   Valid        May 16 2013  174                                
ouhsc.desire2learn.com:443                      Valid        Jul 23 2013  242                                
pamojaeducation.desire2learn.com:443            Valid        Mar 2 2013   99                                 
pdxprod.desire2learn.com:443                    Valid        Jul 7 2013   226                                
psu.desire2learn.com:443                        Valid        Jul 23 2013  242                                
sait.desire2learn.com:443                       Valid        Apr 23 2015  881                                
smul.desire2learn.com:443                       Valid        Mar 31 2014  493                                
surreyconnect.desire2learn.com:443              Valid        Jul 23 2013  242                                
tamuk.desire2learn.com:443                      Valid        Feb 3 2013   72                                 
ucb.desire2learn.com:443                        Valid        Dec 20 2014  757                                
usg.desire2learn.com:443                        Valid        Jul 23 2013  242                                
wluprod.desire2learn.com:443                    Valid        Jun 16 2013  205                                
cauc.adec.desire2learn.com:443                  Valid        Aug 27 2013  277                                
hsi.adec.desire2learn.com:443                   Valid        Apr 20 2013  148                                
swau.adec.desire2learn.com:443                  Valid        Nov 19 2014  726                                
wwc.adec.desire2learn.com:443                   Valid        Aug 18 2015  998                                
access.desire2learn.com:443                     Valid        Jul 23 2013  242                                
ccs.desire2learn.com:443                        Valid        Mar 8 2014   470                                
aotrauma.desire2learn.com:443                   Valid        Jul 23 2013  242                                
aospine.desire2learn.com:443                    Valid        Jul 23 2013  242                                
aocmf.desire2learn.com:443                      Valid        Jul 23 2013  242                                
