"HostName","MemMax","MemAvg","MemMin","CPUMax","CPUAvg","CPUMin"
"usabcpfrwex0002.hosting.d2l","74.3099975585938","25.1528212297604","0.00999999977648258","7.57999992370605","2.30930167929836","0.00999999977648258"
"usabcpfrwex0001.hosting.d2l",,,,,,
"ausyeqvmwex0003.hosting.d2l","59.7200012207031","56.6039128510848","54.9099998474121","29.7900009155273","19.2060869880345","12.3599996566772"
"ausyeqvmwex0004.hosting.d2l",,,,,,
"ausyeqvmwex0002.hosting.d2l","63.7900009155273","45.8573916062065","25.2000007629395","20.1100006103516","11.7552173034005","6.46000003814697"
"ausyeqvmwex0001.hosting.d2l",,,,,,
"t1esx105.tor01.desire2learn.d2l","53.1800003051758","49.1615915178145","0.00999999977648258","46.8300018310547","32.9972973007306","0.00999999977648258"
"t1esx106.tor01.desire2learn.d2l","51.6399993896484","48.8371771757992","0.00999999977648258","38.060001373291","27.23486484722","0.00999999977648258"
"t1esx107.tor01.desire2learn.d2l","54.939998626709","51.7293993004181","0.00999999977648258","35.7200012207031","25.1574174321897","0.00999999977648258"
"t1esx108.tor01.desire2learn.d2l","52.4000015258789","46.5086185869959","0.00999999977648258","33.7400016784668","18.0008408087599","0.00999999977648258"
"t1esx114.tor01.desire2learn.d2l","63.8499984741211","52.1248503099","0.00999999977648258","28.7999992370605","20.4288323707265","0.00999999977648258"
"t1esx115.tor01.desire2learn.d2l","61.310001373291","54.572102130964","0.00999999977648258","26.3199996948242","17.2967567353288","0.00999999977648258"
"t1esx116.tor01.desire2learn.d2l","55.5400009155273","17.0886527809766","0.00999999977648258","25.0200004577637","5.23065869683612","0.00999999977648258"
"t1esx117.tor01.desire2learn.d2l",,,,,,
"t1esx204.tor01.desire2learn.d2l","53.1800003051758","47.4921021048461","0.00999999977648258","31.2399997711182","18.0062162212513","0.00999999977648258"
"t1esx205.tor01.desire2learn.d2l","51.9599990844727","44.457447425907","0.00999999977648258","48.0900001525879","26.7188588636662","0.00999999977648258"
"t1esx206.tor01.desire2learn.d2l","55.7999992370605","50.47739516937","0.00999999977648258","48.689998626709","25.795089810529","0.00999999977648258"
"t1esx207.tor01.desire2learn.d2l","50.9799995422363","45.7332933259079","0.00999999977648258","35.5699996948242","24.4596407238093","0.00999999977648258"
"t1esx208.tor01.desire2learn.d2l","55.810001373291","52.7067567860769","0.00999999977648258","33.5800018310547","22.4660060236415","0.00999999977648258"
"t1esx213.tor01.desire2learn.d2l","56.8800010681152","51.4823723471648","0.00999999977648258","49.1699981689453","31.7924024681519","0.00999999977648258"
"t1esx215.tor01.desire2learn.d2l","51.5200004577637","48.6429341449765","0.00999999977648258","45.0400009155273","31.7520659180514","0.00999999977648258"
"t1esxcardiff.tor01.desire2learn.d2l","71.0699996948242","66.8160060843559","0.00999999977648258","6.8600001335144","4.5824624735683","0.00999999977648258"
"t1esx104.tor01.desire2learn.d2l","52.75","48.0754953685633","0.00999999977648258","36.9099998474121","27.2791591300587","0.00999999977648258"
"t1ucsesx001.tor01.desire2learn.d2l","33.560001373291","32.0094310390389","0.00999999977648258","63","41.4654191235237","0.00999999977648258"
"t1ucsesx002.tor01.desire2learn.d2l","51.0800018310547","48.6158085358134","0.00999999977648258","60.4099998474121","35.3262275682015","0.00999999977648258"
"t1ucsesx005.tor01.desire2learn.d2l","46.9599990844727","44.6524704883119","0.00999999977648258","66.1699981689453","33.1022023349623","0.00999999977648258"
"t1ucsesx007.tor01.desire2learn.d2l","48.0200004577637","46.2430535093686","0.00999999977648258","74.2200012207031","38.6246705414939","0.00999999977648258"
"t1ucsesx006.tor01.desire2learn.d2l","45.7400016784668","43.001820963838","0.00999999977648258","60.5699996948242","35.1230448120955","0.00999999977648258"
"t1ucsesx008.tor01.desire2learn.d2l","58.4500007629395","49.579880087449","0.00999999977648258","59.4500007629395","30.3460060270788","0.00999999977648258"
"t1ucsesx003.tor01.desire2learn.d2l","48.4199981689453","45.9442639783271","0.00999999977648258","81.6900024414063","38.419069134359","0.00999999977648258"
"t1ucsesx004.tor01.desire2learn.d2l","42.75","39.1846847566175","0.00999999977648258","68.5899963378906","36.3683482966758","0.00999999977648258"
"hfesx01.tor01.desire2learn.d2l","59.8199996948242","58.0668995060734","1.37000000476837","68.9800033569336","43.8140223635642","0.370000004768372"
"hfesx02.tor01.desire2learn.d2l","58.9799995422363","50.5596089389737","48.5699996948242","79.25","54.1339105147889","30.7999992370605"
"hfesx03.tor01.desire2learn.d2l","64.1900024414063","62.4836312725557","60.6300010681152","78.1900024414063","47.1280168448081","25.7000007629395"
"hfesx13.tor01.desire2learn.d2l","62.0800018310547","55.7775698933521","53.5400009155273","68.2799987792969","42.9522067075335","24.5300006866455"
"hfesx14.tor01.desire2learn.d2l","65.0999984741211","63.4478491777814","62.2900009155273","69.9400024414063","49.3439943484088","31.9699993133545"
"hfesx15.tor01.desire2learn.d2l","60.7799987792969","50.0730447076552","47.8199996948242","69.7600021362305","38.4256983602513","24.1700000762939"
"hfesx16.tor01.desire2learn.d2l","56.2400016784668","43.4803353101848","40.6699981689453","77.7300033569336","45.8386872627216","26.9300003051758"
"hfesx17.tor01.desire2learn.d2l","62.4700012207031","60.5261732666186","58.0999984741211","67.9700012207031","44.1020112597077","28.1499996185303"
"hfesx18.tor01.desire2learn.d2l","56.9500007629395","50.4140223178118","48.8600006103516","71.9599990844727","42.6360894954404","22.2099990844727"
"hfesx19.tor01.desire2learn.d2l","72.4800033569336","70.0741899586257","67.5699996948242","71.5299987792969","43.9885475329181","26.7900009155273"
