"VmName","MemMax","MemAvg","MemMin","CPUMax","CPUAvg","CPUMin"
"US1MS001A","19.0900001525879","4.59287710356729","0.00999999977648258","9.06999969482422","1.44349161067239","0.00999999977648258"
"US1RPT001A",,,,,,
"US1SQL001A","18.4899997711182","4.61826815628889","0.119999997317791","11.3500003814697","4.78930169443844","0.589999973773956"
"USABCPLNXCT001","6.5","2.73913042968058","0.00999999977648258","6.96000003814697","2.97695652824705","0.00999999977648258"
"USABCPS08DC0001",,,,,,
"USABCPS08DC0002","12.0100002288818","6.98796092598132","2.92000007629395","3.5","1.96251396293747","1.32000005245209"
"USABCPS08SQ0001","8.76000022888184","5.48871509522699","2.74000000953674","8.68000030517578","6.0820949690302","4.69999980926514"
"USABCPS08VC0001","31.0400009155273","16.0646648007398","10.2700004577637","14.8000001907349","8.42175977056919","6.36999988555908"
"USABCPBCDML0001","50.4000015258789","34.8975418985889","19.1200008392334","11.2299995422363","6.41463685834874","4.19999980926514"
"USABCPBCDML0001_OLD","22.5200004577637","7.54159218566128","0.00999999977648258","5.5","1.92525139927614","0.00999999977648258"
"USABCPFRWLB0001",,,,,,
"USABCPFRWLB0002","3.79999995231628","3.10877437046975","2.47000002861023","8.31999969482422","7.18211705306114","5.82999992370605"
"USABCPS08FS0001","37.8300018310547","9.00799444126884","3.85999989509583","17.4899997711182","3.04189415163981","1.86000001430511"
"USABCPS03WB001A",,,,,,
"USABCPS03WB001B",,,,,,
"USABCPS03WB001C","6.26000022888184","1.57539106272265","0.00999999977648258","4.05999994277954","0.822793294176168","0.00999999977648258"
"USABCPS03WB001D","6.32000017166138","1.55368715082946","0.00999999977648258","4.82000017166138","0.809469272549051","0.00999999977648258"
"AUGLDKS08UT001A","3.14000010490417","0.683043486965091","0.00999999977648258","0.850000023841858","0.345217390471826","0.00999999977648258"
"AUGLDKS08SQ0001","3.79999995231628","1.04652173549909","0.00999999977648258","3.98000001907349","2.03826087899506","0.00999999977648258"
"AUGLDKS08DC0001","3.71000003814697","0.930434791209257","0.00999999977648258","1.38999998569489","0.517391305173869","0.00999999977648258"
"AUSYEQS08CP0005","15.1899995803833","8.06347824179608","2.70000004768372","2.45000004768372","1.59565218635227","0.970000028610229"
"AUSYEQS08CP0006","7.01999998092651","3.64043477307195","1.04999995231628","1.19000005722046","0.792173903921376","0.560000002384186"
"AUSYEQS08CP0004","7.46000003814697","3.95608695693638","1.26999998092651","1.72000002861023","1.19217391895211","0.810000002384186"
"AUSYEQS08VC0001","37.439998626709","28.8691301760466","21.6499996185303","37.8800010681152","8.80695653998333","4.78999996185303"
"AUSYEQS08DC0001","14.2600002288818","11.6108696564384","8.96000003814697","4.25","3.9043478447458","3.3199999332428"
"AUSYEQLTMF50001",,,,,,
"AUSYEQS08FT0001",,,,,,
"AUSYEQS08SQ0002","10.6400003433228","8.75260871389638","8.02999973297119","22.4300003051758","17.5286956455397","12.1400003433228"
"AUSYEQS08SS0001","6.76999998092651","6.17478262859842","5.80999994277954","2.21000003814697","2.07347821152729","2.00999999046326"
"AUSYEXLNXRS01",,,,,,
"AUSYEQLNXCT001","25.9400005340576","14.1043477265731","12.0600004196167","7.92999982833862","7.18478256723155","5.94999980926514"
"AUSYEQS08SQ0004",,,,,,
"AUSYEQS08RS0001",,,,,,
"External_Router","0.709999978542328","0.292173913639525","0.209999993443489","0.270000010728836","0.229130430713944","0.209999993443489"
"AUSYEQS08MT001","14.1099996566772","9.55652170595915","5.96000003814697","9.47999954223633","3.49565218842548","1.97000002861023"
"AUSYEQLTMF50002","9.14000034332275","8.46434788081957","8.07999992370605","12.3100004196167","11.6273913176163","10.8100004196167"
"AUSYEQS08WB001B","34.4900016784668","19.7008695602417","13.1300001144409","58.9799995422363","24.8226088233616","11.8299999237061"
"AUSYEQBCDML0001","17.8700008392334","14.1686956986137","10.9399995803833","6.05000019073486","4.45260869938394","3.46000003814697"
"AUSYEQS03DV001A","3.55999994277954","2.1786956631619","1.55999994277954","1.83000004291534","1.59347825464995","1.38999998569489"
"AUSYEQS08LV0001",,,,,,
"AUSYEQS03SB0001","4.23000001907349","3.49608696025351","2.20000004768372","4.82999992370605","2.74739130683567","1.62999999523163"
"AUSYEQS08MS0001",,,,,,
"AUSYEQS08ML0002",,,,,,
"AUSYEQS08CS0002","8.05000019073486","6.1656521299611","4.94999980926514","5.67999982833862","2.67913043498993","1.25999999046326"
"AUSYEQS08LV0002","7.57999992370605","7.04565216147381","6.78999996185303","1.77999997138977","1.41217391387276","1.3400000333786"
"AUSYEQLNXAL0002","4.76000022888184","3.9582608886387","3.82999992370605","5.53999996185303","5.00478257303653","4.71000003814697"
"AUSYEQS08SQ0003",,,,,,
"AUSYEQS08WB001F","18.0499992370605","10.7024999856949","8.11999988555908","28.5100002288818","21.1362502574921","12.5500001907349"
"AUSYEQS08WB001A","36.8699989318848","22.2521738798722","15.8500003814697","63.9599990844727","26.1391299289206","11.8599996566772"
"AUSYEQS08DC0002",,,,,,
"AUSYEQS08WB001C","26.7099990844727","19.8108696730241","15.0500001907349","59.1300010681152","26.6460872318434","12.3000001907349"
"AUSYEQS08ML0001","9.17000007629395","8.4860869490582","6.78000020980835","6.17999982833862","2.13173909290977","1.75"
"AUSYEQS08UT0001","42.2599983215332","26.4404346631921","20.5799999237061","19.4699993133545","11.7760868694471","4.90000009536743"
"AUSYEQS08TC0001","20.0300006866455","9.47869564139325","5.01999998092651","17.7999992370605","6.43521731832753","2.75999999046326"
