"VCname","DCname","Clustername","Total Physical Memory (MB)","Configured Memory MB","Available Memory (MB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (MB)","Configured Disk Space (MB)","Available Disk Space (MB)"
"ausyeqs08vc0001","AUSYEQ","AUSYEQ Production Cluster","524248.078125","314494","209754.078125","147200","16532","130668","3669760","2863326","806434"
"t1vcs02","T1 Bell Datacenter","UCS-Intel-DR","786316.0859375","374843","411473.0859375","86368","5895","80473","3886592","2369974","1516618"
"t1vcs02","T1 Bell Datacenter","Dell-AMD-Cluster","1671090.4375","625371","1045719.4375","552000","98102","453898","77310208","30496435","46813773"
"t1vcs02","T1 Bell Datacenter","UCS-Intel-Cluster","12842583.1015625","3899180","8943403.1015625","1322768","554802","767966","77310208","30496435","46813773"
"hfvcs02","Verizon - Virtual DC","UCS-Intel-DR","786315.53125","557448","228867.53125","86368","5691","80677","5168896","4507080","661816"
"hfvcs02","Verizon - Virtual DC","Dell-AMD-Cluster","2162538.29296875","779834","1382704.29296875","600000","99069","500931","109404416","44730564","64673852"
"hfvcs02","Verizon - Virtual DC","AMD-6200-Cluster","524236.0390625","118106","406130.0390625","140800","11165","129635","108380928","44729435","63651493"
"hfvcs02","Verizon - Virtual DC","Dell-Intel-Cluster","12187928.8789063","2563875","9624053.87890625","1346704","326936","1019768","108380928","44729435","63651493"
