"VCname","DCname","Clustername","Total Physical Memory (MB)","Configured Memory MB","Available Memory (MB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (MB)","Configured Disk Space (MB)","Available Disk Space (MB)"
"t1vcs02","T1 Bell Datacenter","Dell-AMD-Cluster","1933211.15625","811267","1121944.15625","667200","113661","553539","55293184","31194032","24099152"
"t1vcs02","T1 Bell Datacenter","UCS-Intel-Cluster","9697318.7578125","3446867","6250451.7578125","977296","205276","772020","55293184","31194032","24099152"
"hfvcs02","Verizon - Virtual DC","Dell-AMD-Cluster","2162538.29296875","1562274","600264.29296875","600000","239256","360744","93678080","39193880","54484200"
"hfvcs02","Verizon - Virtual DC","AMD-6200-Cluster","524236.0390625","230559","293677.0390625","140800","17766","123034","92654592","39192751","53461841"
"hfvcs02","Verizon - Virtual DC","Dell-Intel-Cluster","12974244.4101563","944581","12029663.4101563","1433072","88993","1344079","92654592","39192751","53461841"
