"VCname","DCname","Clustername","Total Physical Memory (MB)","Configured Memory MB","Available Memory (MB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (MB)","Configured Disk Space (MB)","Available Disk Space (MB)"
"t1vcs02","T1 Bell Datacenter","Dell-AMD-Cluster","1933211.15625","964611","968600.15625","667200","139407","527793","32227328","11336079","20891249"
"t1vcs02","T1 Bell Datacenter","UCS-Intel-Cluster","4193106.15625","2952062","1241044.15625","372720","194377","178343","55293184","26501106","28792078"
"hfvcs02","Verizon - Virtual DC","Dell-AMD-Cluster","2162538.29296875","1554449","608089.29296875","600000","338681","261319","93678080","37105428","56572652"
"hfvcs02","Verizon - Virtual DC","AMD-6200-Cluster","524236.0390625","217111","307125.0390625","140800","18281","122519","92654592","37104299","55550293"
"hfvcs02","Verizon - Virtual DC","Dell-Intel-Cluster","3538458.03515625","601617","2936841.03515625","396656","42694","353962","92654592","37104299","55550293"
